[14:01:30] [S->C] ID: 00B6 | Len: 6
[14:01:31] [S->C] ID: 00B6 | Len: 6
[14:01:31] [S->C] ID: 00B6 | Len: 6
[14:01:32] [S->C] ID: 00B6 | Len: 6
[14:01:32] [S->C] ID: 00B6 | Len: 6
[14:01:33] [S->C] ID: 00B6 | Len: 6
[14:01:33] [S->C] ID: 00B6 | Len: 6
[14:01:34] [S->C] ID: 00B6 | Len: 6
[14:01:34] [S->C] ID: 00B6 | Len: 6
[14:01:35] [S->C] ID: 00B6 | Len: 6
[14:01:35] [C->S] ID: 8280 | Len: 128
[14:01:35] [C->S] ID: 018A | Len: 4
[14:01:35] [S->C] ID: 018B | Len: 4
[14:01:35] [C->S] ID: 4F50 | Len: 229
[14:01:35] [S->C] ID: 5448 | Len: 25
[14:01:35] [C->S] ID: 2D2D | Len: 1535
[14:01:35] [S->C] ID: 5448 | Len: 102
[14:01:35] [S->C] ID: 227B | Len: 410
